DATE,UMCSENT,GDPC1,FEDFUNDS,SP500,PCE,CSUSHPINSA,ICSA,JTSJOR,UNRATE,CPIAUCSL,CPIAUCSL (T-1),CPIAUCSL (T-2),CPIAUCSL (T-3)
1984-01-01,100.1,2678.282,9.56,166.3929,2419.4,,1404000,,8,102.1,,,
1984-02-01,97.4,2678.282,9.59,157.2505,2403.5,,1357000,,7.8,102.6,,,
1984-03-01,101,2678.282,9.91,157.4386,2431.6,,1729000,,7.8,102.9,,,
1984-04-01,96.1,2724.557,10.29,157.6015,2457.5,,1477000,,7.7,103.3,,,
1984-05-01,98.1,2724.557,10.32,156.5509,2474.5,,1441000,,7.4,103.5,,,
1984-06-01,95.5,2724.557,11.06,153.1248,2495.6,,1807000,,7.2,103.7,,,
1984-07-01,96.6,2750.822,11.23,151.0781,2494.6,,1442000,,7.5,104.1,,,
1984-08-01,99.1,2750.822,11.64,164.4209,2512.2,,1558000,,7.5,104.4,,,
1984-09-01,100.9,2750.822,11.3,166.1126,2533.8,,1977000,,7.3,104.7,,,
1984-10-01,96.3,2773.4,9.99,164.8187,2531.3,,1677000,,7.4,105.1,,,
1984-11-01,95.7,2773.4,9.43,166.2719,2571.4,,1628000,,7.2,105.3,,,
1984-12-01,92.9,2773.4,8.38,164.48,2582.6,,1928000,,7.3,105.5,,,
1985-01-01,96,2800.273,8.35,171.6127,2618.8,,1483000,,7.3,105.7,,,
1985-02-01,93.7,2800.273,8.5,180.8847,2640.8,,1567000,,7.2,106.3,,,
1985-03-01,93.7,2800.273,8.58,179.42,2648.5,,1904000,,7.2,106.8,,,
1985-04-01,94.6,2824.929,8.27,180.6186,2659.5,,1593000,,7.3,107,,,
1985-05-01,91.8,2824.929,7.97,184.8991,2696.4,,1571000,,7.2,107.2,,,
1985-06-01,96.5,2824.929,7.53,188.886,2689.4,,1962000,,7.4,107.5,,,
1985-07-01,94,2868.073,7.88,192.5445,2715.7,,1513000,,7.4,107.7,,,
1985-08-01,92.4,2868.073,7.9,188.3064,2752.1,,2022000,,7.1,107.9,,,
1985-09-01,92.1,2868.073,7.92,184.2058,2794.7,,1634000,,7.1,108.1,,,
1985-10-01,88.4,2889.396,7.99,186.1804,2755.8,,1623000,,7.1,108.5,,,
1985-11-01,90.9,2889.396,8.05,197.4455,2771.1,,1967000,,7,109,,,
1985-12-01,93.9,2889.396,8.27,207.2576,2811.3,,1541000,,7,109.5,,,
1986-01-01,95.6,2916.376,8.14,208.1941,2827.1,,1467000,,6.7,109.9,,,
1986-02-01,95.9,2916.376,7.86,219.3653,2820.2,,1478000,,7.2,109.7,,,
1986-03-01,95.1,2916.376,7.48,232.327,2823.6,,1906000,,7.2,109.1,,,
1986-04-01,96.2,2929.508,6.99,237.9677,2835.2,,1543000,,7.1,108.7,,,
1986-05-01,94.8,2929.508,6.85,238.459,2857.5,,1930000,,7.2,109,,,
1986-06-01,99.3,2929.508,6.92,245.2957,2861.7,,1482000,,7.2,109.4,,,
1986-07-01,97.7,2957.534,6.56,240.18,2881.2,,1448000,,7,109.5,,,
1986-08-01,94.9,2957.534,6.17,245.001,2898.6,,2037000,,6.9,109.6,,,
1986-09-01,91.9,2957.534,5.89,238.269,2971.8,,1582000,,7,110,,,
1986-10-01,95.6,2973.398,5.85,237.3561,2932.9,,1533000,,7,110.2,,,
1986-11-01,91.4,2973.398,6.04,245.0926,2928.4,,1816000,,6.9,110.4,,,
1986-12-01,89.1,2973.398,6.91,248.6055,2997.1,,1433000,,6.6,110.8,,,
1987-01-01,90.4,2995.456,6.43,264.511,2935.5,63.734,1728000,,6.6,111.4,,,
1987-02-01,90.2,2995.456,6.1,280.9342,3001.7,64.133,1395000,,6.6,111.8,,,
1987-03-01,90.8,2995.456,6.13,292.4714,3013.3,64.468,1333000,,6.6,112.2,,,
1987-04-01,92.8,3027.752,6.37,289.3219,3038.8,64.971,1345000,,6.3,112.7,,,
1987-05-01,91.1,3027.752,6.85,289.1155,3048.4,65.545,1655000,,6.3,113,,,
1987-06-01,91.5,3027.752,6.73,301.3841,3072.8,66.217,1289000,,6.2,113.5,,,
1987-07-01,93.7,3054.008,6.58,310.0873,3094.7,66.785,1277000,,6.1,113.8,,,
1987-08-01,94.4,3054.008,6.73,329.3581,3130.8,67.269,1628000,,6,114.3,,,
1987-09-01,93.6,3054.008,7.22,318.661,3126.5,67.623,1239000,,5.9,114.7,,,
1987-10-01,89.3,3106.444,7.29,280.1641,3134.5,67.901,1500000,,6,115,,,
1987-11-01,83.1,3106.444,6.69,245.0085,3144.2,68.091,1227000,,5.8,115.4,,,
1987-12-01,86.8,3106.444,6.77,240.9559,3174.1,68.342,1275000,,5.7,115.6,,,
1988-01-01,90.8,3122.501,6.83,250.4765,3213.7,68.581,1678000,,5.7,116,,,
1988-02-01,91.6,3122.501,6.58,258.128,3221.4,68.914,1275000,,5.7,116.2,,,
1988-03-01,94.6,3122.501,6.58,265.7374,3260.5,69.322,1222000,,5.7,116.5,,,
1988-04-01,91.2,3163.531,6.87,262.6155,3263,69.787,1561000,,5.4,117.2,,,
1988-05-01,94.8,3163.531,7.09,256.1238,3293.6,70.408,1255000,,5.6,117.5,,,
1988-06-01,94.7,3163.531,7.51,270.6827,3318.5,71.067,1233000,,5.4,118,,,
1988-07-01,93.4,3182.069,7.75,269.0495,3342.7,71.685,1608000,,5.4,118.5,,,
1988-08-01,97.4,3182.069,8.01,263.7265,3368,72.185,1259000,,5.6,119,,,
1988-09-01,97.3,3182.069,8.19,267.97,3375,72.574,1218000,,5.4,119.5,,,
